ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30.0,961,1375.0,7.0,6.0,4.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42.0,910,1055.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Kokkinakis T.,52,68.0,914,792.0,3.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.75,1.44,2.69,1.52,2.75,1.54,2.59,1.48
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Zapata Miralles B.,41,77.0,1062,715.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.17,5.65,1.17,6.0,1.15,5.29
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,71,97.0,780,626.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.1,1.81,2.1,1.81,2.06,1.75
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78.0,159,714.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Diaz Acosta F.,47,93.0,982,655.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.22,4.76,1.28,4.76,1.22,4.25
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Hanfmann Y.,46,49.0,990,929.0,7.0,5.0,2.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.62,2.3,1.5,2.75,1.63,2.75,1.56,2.41
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Walton A.,32,176.0,1337,348.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.35,3.43,1.35,3.75,1.31,3.37
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mccabe J.,31,278.0,1369,207.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.29,3.97,1.35,4.07,1.28,3.6
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70.0,1096,782.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.83,2.07,1.83,2.07,1.78,2.01
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,O Connell C.,Shevchenko A.,71,48.0,780,961.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.3,1.62,2.13,1.8,2.32,1.8,2.13,1.71
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Arnaldi M.,18,41.0,1830,1062.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.73,2.1,1.81,2.13,1.84,2.13,1.77,2.03
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Draper J.,Kecmanovic M.,62,55.0,836,910.0,5.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.44,2.75,1.48,2.86,1.5,2.86,1.44,2.73
3,Adelaide,Adelaide International,2024-01-10,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Sonego L.,29,46.0,1380,990.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.6,2.5,1.63,2.5,1.57,2.37
