match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,ApproachRallies,3,3,3,0,0,0,0,18
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,NetPoints,10,7,5,1,2,1,0,71
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,Approach,7,6,5,1,0,1,0,49
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,NetPointsRallies,10,7,5,1,2,1,0,71
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Arthur Fils,ApproachRallies,7,6,5,1,0,1,0,49
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,NetPoints,5,3,2,0,0,2,0,49
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,Approach,5,3,2,0,0,2,0,49
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,NetPointsRallies,4,3,2,0,0,1,0,45
20260417-M-Barcelona-QF-Arthur_Fils-Lorenzo_Musetti,Lorenzo Musetti,ApproachRallies,4,3,2,0,0,1,0,45
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,NetPoints,9,5,4,0,0,0,3,51
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,Approach,6,3,2,0,0,0,3,31
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,NetPointsRallies,7,4,4,0,0,0,2,46
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Brandon Nakashima,ApproachRallies,4,2,2,0,0,0,2,26
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,NetPoints,7,4,1,1,2,0,0,33
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,Approach,5,2,1,0,2,0,0,24
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,NetPointsRallies,6,4,1,1,2,0,0,31
20260416-M-Barcelona-R16-Brandon_Nakashima-Arthur_Fils,Arthur Fils,ApproachRallies,4,2,1,0,2,0,0,22
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,NetPoints,12,9,9,0,1,2,0,76
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,Approach,4,4,4,0,0,0,0,25
20260415-M-Munich-R16-Joao_Fonseca-Arthur_Rinderknech,Joao Fonseca,NetPointsRallies,12,9,9,0,1,2,0,76
